ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,6.12e-07,6.12e-07,6.12e-07,6.12e-07,"('~', 0, ""<method 'add' of 'set' objects>"")"
1,2.6e-07,2.6e-07,2.6e-07,2.6e-07,"('~', 0, ""<method 'pop' of 'dict' objects>"")"
1,1.98e-07,1.98e-07,1.98e-07,1.98e-07,"('~', 0, ""<method 'update' of 'dict' objects>"")"
45,9.173e-06,2.0384444444444444e-07,9.173e-06,2.0384444444444444e-07,"('~', 0, ""<method 'encode' of 'str' objects>"")"
3,9.880000000000001e-07,3.2933333333333337e-07,9.880000000000001e-07,3.2933333333333337e-07,"('~', 0, ""<method 'startswith' of 'str' objects>"")"
1,1.334e-06,1.334e-06,2.4780000000000002e-06,2.4780000000000002e-06,"('~', 0, '<built-in method builtins.any>')"
8,2.155e-06,2.69375e-07,2.155e-06,2.69375e-07,"('~', 0, '<built-in method builtins.getattr>')"
16,2.1230000000000003e-06,1.3268750000000002e-07,2.1230000000000003e-06,1.3268750000000002e-07,"('~', 0, '<built-in method builtins.hasattr>')"
492,7.957e-05,1.6172764227642277e-07,0.00021125900000000002,5.255199004975125e-07,"('~', 0, '<built-in method builtins.isinstance>')"
57,2.4008e-05,4.2119298245614036e-07,6.0383e-05,1.0593508771929825e-06,"('~', 0, '<built-in method builtins.issubclass>')"
1,3.1400000000000003e-07,3.1400000000000003e-07,3.1400000000000003e-07,3.1400000000000003e-07,"('~', 0, '<built-in method builtins.iter>')"
48,6.163e-06,1.2839583333333334e-07,6.163e-06,1.2839583333333334e-07,"('~', 0, '<built-in method builtins.len>')"
4,4.5450000000000005e-06,1.1362500000000001e-06,5.275e-06,1.31875e-06,"('~', 0, '<built-in method builtins.next>')"
5,9.570000000000001e-07,1.9140000000000003e-07,9.570000000000001e-07,1.9140000000000003e-07,"('~', 0, '<built-in method builtins.setattr>')"
1,1.168e-06,1.168e-06,1.168e-06,1.168e-06,"('~', 0, '<built-in method builtins.sorted>')"
42,3.0668000000000005e-05,7.301904761904763e-07,4.3084e-05,1.025809523809524e-06,"('<frozen os>', 756, 'encode')"
42,5.6062000000000006e-05,1.334809523809524e-06,9.9146e-05,2.3606190476190477e-06,"('<frozen os>', 674, '__getitem__')"
2,4.712e-06,2.356e-06,5.765000000000001e-06,2.8825000000000004e-06,"('<frozen posixpath>', 229, 'expanduser')"
2,3.597e-06,1.7985e-06,7.405e-06,3.7025e-06,"('<frozen genericpath>', 39, 'isdir')"
2,3.413e-06,1.7065e-06,1.5482000000000002e-05,7.741000000000001e-06,"('<frozen genericpath>', 16, 'exists')"
42,3.7624000000000004e-05,8.958095238095239e-07,0.00013677,3.2564285714285714e-06,"('<frozen _collections_abc>', 771, 'get')"
45,1.8494000000000003e-05,4.1097777777777787e-07,3.6375e-05,8.083333333333334e-07,"('<frozen abc>', 121, '__subclasscheck__')"
146,3.5259e-05,2.4150000000000004e-07,3.5259e-05,2.4150000000000004e-07,"('~', 0, '<built-in method __new__ of type object at 0x9584a0>')"
1,5.77e-07,5.77e-07,5.77e-07,5.77e-07,"('~', 0, ""<method '__exit__' of '_thread.RLock' objects>"")"
5,0.007151872,0.0014303744,0.007151872,0.0014303744,"('~', 0, ""<method 'acquire' of '_thread.lock' objects>"")"
1,1.9900000000000002e-07,1.9900000000000002e-07,1.9900000000000002e-07,1.9900000000000002e-07,"('~', 0, ""<method 'release' of '_thread.lock' objects>"")"
2,9.98e-07,4.99e-07,9.98e-07,4.99e-07,"('~', 0, ""<method '__enter__' of '_thread.lock' objects>"")"
2,6.5750000000000006e-06,3.2875000000000003e-06,6.5750000000000006e-06,3.2875000000000003e-06,"('~', 0, ""<method '__exit__' of '_thread.lock' objects>"")"
