ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,4.5300000000000005e-07,4.5300000000000005e-07,4.5300000000000005e-07,4.5300000000000005e-07,"('~', 0, ""<method 'add' of 'set' objects>"")"
1,2.1900000000000002e-07,2.1900000000000002e-07,2.1900000000000002e-07,2.1900000000000002e-07,"('~', 0, ""<method 'pop' of 'dict' objects>"")"
1,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,"('~', 0, ""<method 'update' of 'dict' objects>"")"
45,9.357e-06,2.0793333333333333e-07,9.357e-06,2.0793333333333333e-07,"('~', 0, ""<method 'encode' of 'str' objects>"")"
3,9.5e-07,3.1666666666666667e-07,9.5e-07,3.1666666666666667e-07,"('~', 0, ""<method 'startswith' of 'str' objects>"")"
1,1.935e-06,1.935e-06,3.2860000000000004e-06,3.2860000000000004e-06,"('~', 0, '<built-in method builtins.any>')"
8,2.714e-06,3.3925e-07,2.714e-06,3.3925e-07,"('~', 0, '<built-in method builtins.getattr>')"
16,2.328e-06,1.455e-07,2.328e-06,1.455e-07,"('~', 0, '<built-in method builtins.hasattr>')"
492,7.8646e-05,1.5984959349593498e-07,0.00021074100000000002,5.242313432835822e-07,"('~', 0, '<built-in method builtins.isinstance>')"
57,2.5001e-05,4.386140350877193e-07,6.0774000000000005e-05,1.0662105263157895e-06,"('~', 0, '<built-in method builtins.issubclass>')"
1,2.63e-07,2.63e-07,2.63e-07,2.63e-07,"('~', 0, '<built-in method builtins.iter>')"
48,6.1280000000000005e-06,1.2766666666666668e-07,6.1280000000000005e-06,1.2766666666666668e-07,"('~', 0, '<built-in method builtins.len>')"
4,4.429e-06,1.10725e-06,5.0750000000000005e-06,1.2687500000000001e-06,"('~', 0, '<built-in method builtins.next>')"
5,7.970000000000001e-07,1.594e-07,7.970000000000001e-07,1.594e-07,"('~', 0, '<built-in method builtins.setattr>')"
1,1.176e-06,1.176e-06,1.176e-06,1.176e-06,"('~', 0, '<built-in method builtins.sorted>')"
42,3.0218e-05,7.194761904761905e-07,4.2827e-05,1.0196904761904762e-06,"('<frozen os>', 756, 'encode')"
42,5.8906e-05,1.4025238095238096e-06,0.00010173300000000001,2.422214285714286e-06,"('<frozen os>', 674, '__getitem__')"
2,4.4e-06,2.2e-06,5.433e-06,2.7165e-06,"('<frozen posixpath>', 229, 'expanduser')"
2,3.6240000000000004e-06,1.8120000000000002e-06,6.89e-06,3.445e-06,"('<frozen genericpath>', 39, 'isdir')"
2,2.6150000000000004e-06,1.3075000000000002e-06,1.3899e-05,6.9495e-06,"('<frozen genericpath>', 16, 'exists')"
42,3.754e-05,8.938095238095238e-07,0.000139273,3.31602380952381e-06,"('<frozen _collections_abc>', 771, 'get')"
45,1.9657000000000002e-05,4.3682222222222225e-07,3.5773000000000005e-05,7.949555555555556e-07,"('<frozen abc>', 121, '__subclasscheck__')"
146,3.316e-05,2.2712328767123287e-07,3.316e-05,2.2712328767123287e-07,"('~', 0, '<built-in method __new__ of type object at 0x9584a0>')"
1,3.08e-07,3.08e-07,3.08e-07,3.08e-07,"('~', 0, ""<method '__exit__' of '_thread.RLock' objects>"")"
5,0.008813456,0.0017626912000000001,0.008813456,0.0017626912000000001,"('~', 0, ""<method 'acquire' of '_thread.lock' objects>"")"
1,1.97e-07,1.97e-07,1.97e-07,1.97e-07,"('~', 0, ""<method 'release' of '_thread.lock' objects>"")"
2,1.134e-06,5.67e-07,1.134e-06,5.67e-07,"('~', 0, ""<method '__enter__' of '_thread.lock' objects>"")"
2,3.659e-06,1.8295e-06,3.659e-06,1.8295e-06,"('~', 0, ""<method '__exit__' of '_thread.lock' objects>"")"
1,7.6956e-05,7.6956e-05,7.6956e-05,7.6956e-05,"('~', 0, '<built-in method _thread.start_new_thread>')"
2,1.0360000000000001e-06,5.180000000000001e-07,1.0360000000000001e-06,5.180000000000001e-07,"('~', 0, '<built-in method _thread.allocate_lock>')"
1,2.5200000000000003e-07,2.5200000000000003e-07,2.5200000000000003e-07,2.5200000000000003e-07,"('~', 0, '<built-in method _thread.get_ident>')"
4,1.4215e-05,3.55375e-06,1.4215e-05,3.55375e-06,"('~', 0, '<built-in method posix.stat>')"
2,1.3920000000000002e-06,6.960000000000001e-07,1.3920000000000002e-06,6.960000000000001e-07,"('~', 0, '<built-in method posix.getpid>')"
2,2.5700000000000004e-07,1.2850000000000002e-07,2.5700000000000004e-07,1.2850000000000002e-07,"('~', 0, '<built-in method posix.fspath>')"
45,1.6116e-05,3.581333333333333e-07,1.6116e-05,3.581333333333333e-07,"('~', 0, '<built-in method _abc._abc_subclasscheck>')"
2,3.35e-07,1.675e-07,3.35e-07,1.675e-07,"('~', 0, '<built-in method _stat.S_ISDIR>')"
2,4.970000000000001e-07,2.4850000000000003e-07,4.970000000000001e-07,2.4850000000000003e-07,"('~', 0, ""<method 'append' of 'collections.deque' objects>"")"
1,6.02e-07,6.02e-07,6.02e-07,6.02e-07,"('~', 0, ""<method 'clear' of 'collections.deque' objects>"")"
1,2.0315e-05,2.0315e-05,4.7671000000000005e-05,4.7671000000000005e-05,"('/usr/lib/python3.11/threading.py', 849, '__init__')"
1,4.225e-06,4.225e-06,6.925000000000001e-06,6.925000000000001e-06,"('/usr/lib/python3.11/contextlib.py', 141, '__exit__')"
1,1.2317e-05,1.2317e-05,0.00883103,0.00883103,"('/usr/lib/python3.11/threading.py', 288, 'wait')"
1,1.0438e-05,1.0438e-05,0.008934642000000001,0.008934642000000001,"('/usr/lib/python3.11/threading.py', 938, 'start')"
1,0.00015040800000000001,0.00015040800000000001,0.001202355,0.001202355,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 82, 'apply_dtype_plan')"
