ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,3.49e-07,3.49e-07,3.49e-07,3.49e-07,"('~', 0, ""<method 'add' of 'set' objects>"")"
1,2.03e-07,2.03e-07,2.03e-07,2.03e-07,"('~', 0, ""<method 'pop' of 'dict' objects>"")"
1,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,"('~', 0, ""<method 'update' of 'dict' objects>"")"
47,8.052e-06,1.7131914893617023e-07,8.052e-06,1.7131914893617023e-07,"('~', 0, ""<method 'encode' of 'str' objects>"")"
3,9.01e-07,3.0033333333333336e-07,9.01e-07,3.0033333333333336e-07,"('~', 0, ""<method 'startswith' of 'str' objects>"")"
1,1.388e-06,1.388e-06,2.769e-06,2.769e-06,"('~', 0, '<built-in method builtins.any>')"
8,2.4220000000000003e-06,3.0275000000000003e-07,2.4220000000000003e-06,3.0275000000000003e-07,"('~', 0, '<built-in method builtins.getattr>')"
455,6.6371e-05,1.4587032967032967e-07,0.000186973,5.179307479224377e-07,"('~', 0, '<built-in method builtins.isinstance>')"
47,2.0099000000000002e-05,4.276382978723405e-07,5.2959000000000006e-05,1.1267872340425533e-06,"('~', 0, '<built-in method builtins.issubclass>')"
1,7.200000000000001e-07,7.200000000000001e-07,7.200000000000001e-07,7.200000000000001e-07,"('~', 0, '<built-in method builtins.iter>')"
50,5.871e-06,1.1742e-07,5.871e-06,1.1742e-07,"('~', 0, '<built-in method builtins.len>')"
4,3.7870000000000003e-06,9.467500000000001e-07,4.5550000000000004e-06,1.1387500000000001e-06,"('~', 0, '<built-in method builtins.next>')"
5,8.57e-07,1.714e-07,8.57e-07,1.714e-07,"('~', 0, '<built-in method builtins.setattr>')"
1,1.204e-06,1.204e-06,1.204e-06,1.204e-06,"('~', 0, '<built-in method builtins.sorted>')"
44,2.894e-05,6.577272727272728e-07,4.0602e-05,9.227727272727273e-07,"('<frozen os>', 756, 'encode')"
44,4.9353e-05,1.1216590909090909e-06,8.9955e-05,2.044431818181818e-06,"('<frozen os>', 674, '__getitem__')"
2,3.778e-06,1.889e-06,4.763e-06,2.3815e-06,"('<frozen posixpath>', 229, 'expanduser')"
2,3.35e-06,1.675e-06,6.778e-06,3.389e-06,"('<frozen genericpath>', 39, 'isdir')"
2,2.531e-06,1.2655e-06,9.608e-06,4.804e-06,"('<frozen genericpath>', 16, 'exists')"
44,3.4013e-05,7.730227272727273e-07,0.00012396800000000002,2.8174545454545457e-06,"('<frozen _collections_abc>', 771, 'get')"
47,1.9218e-05,4.088936170212766e-07,3.286e-05,6.991489361702128e-07,"('<frozen abc>', 121, '__subclasscheck__')"
123,2.8808000000000003e-05,2.3421138211382115e-07,2.8808000000000003e-05,2.3421138211382115e-07,"('~', 0, '<built-in method __new__ of type object at 0x9584a0>')"
1,3.6200000000000004e-07,3.6200000000000004e-07,3.6200000000000004e-07,3.6200000000000004e-07,"('~', 0, ""<method '__exit__' of '_thread.RLock' objects>"")"
5,0.012634885,0.002526977,0.012634885,0.002526977,"('~', 0, ""<method 'acquire' of '_thread.lock' objects>"")"
1,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,2.0000000000000002e-07,"('~', 0, ""<method 'release' of '_thread.lock' objects>"")"
2,1.5180000000000001e-06,7.590000000000001e-07,1.5180000000000001e-06,7.590000000000001e-07,"('~', 0, ""<method '__enter__' of '_thread.lock' objects>"")"
2,3.53e-07,1.765e-07,3.53e-07,1.765e-07,"('~', 0, ""<method '__exit__' of '_thread.lock' objects>"")"
1,5.9652000000000004e-05,5.9652000000000004e-05,5.9652000000000004e-05,5.9652000000000004e-05,"('~', 0, '<built-in method _thread.start_new_thread>')"
2,1.3e-06,6.5e-07,1.3e-06,6.5e-07,"('~', 0, '<built-in method _thread.allocate_lock>')"
1,4.1900000000000003e-07,4.1900000000000003e-07,4.1900000000000003e-07,4.1900000000000003e-07,"('~', 0, '<built-in method _thread.get_ident>')"
4,1.0204000000000001e-05,2.5510000000000002e-06,1.0204000000000001e-05,2.5510000000000002e-06,"('~', 0, '<built-in method posix.stat>')"
2,1.3490000000000001e-06,6.745000000000001e-07,1.3490000000000001e-06,6.745000000000001e-07,"('~', 0, '<built-in method posix.getpid>')"
2,2.9500000000000003e-07,1.4750000000000002e-07,2.9500000000000003e-07,1.4750000000000002e-07,"('~', 0, '<built-in method posix.fspath>')"
47,1.3642e-05,2.902553191489362e-07,1.3642e-05,2.902553191489362e-07,"('~', 0, '<built-in method _abc._abc_subclasscheck>')"
2,3.01e-07,1.505e-07,3.01e-07,1.505e-07,"('~', 0, '<built-in method _stat.S_ISDIR>')"
2,4.64e-07,2.32e-07,4.64e-07,2.32e-07,"('~', 0, ""<method 'append' of 'collections.deque' objects>"")"
1,9.87e-07,9.87e-07,9.87e-07,9.87e-07,"('~', 0, ""<method 'clear' of 'collections.deque' objects>"")"
1,1.3654e-05,1.3654e-05,3.9273e-05,3.9273e-05,"('/usr/lib/python3.11/threading.py', 849, '__init__')"
1,3.5450000000000004e-06,3.5450000000000004e-06,6.233e-06,6.233e-06,"('/usr/lib/python3.11/contextlib.py', 141, '__exit__')"
1,1.1808000000000001e-05,1.1808000000000001e-05,0.012651932000000001,0.012651932000000001,"('/usr/lib/python3.11/threading.py', 288, 'wait')"
1,9.250000000000001e-06,9.250000000000001e-06,0.012732033,0.012732033,"('/usr/lib/python3.11/threading.py', 938, 'start')"
1,6.58e-07,6.58e-07,6.58e-07,6.58e-07,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 82, 'apply_dtype_plan')"
2,3.74e-06,1.87e-06,0.000963029,0.0004815145,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_loader.py', 67, 'data_scanner')"
