ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,6.77e-07,6.77e-07,6.77e-07,6.77e-07,"('~', 0, ""<method 'add' of 'set' objects>"")"
1,2.1300000000000001e-07,2.1300000000000001e-07,2.1300000000000001e-07,2.1300000000000001e-07,"('~', 0, ""<method 'pop' of 'dict' objects>"")"
1,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,2.6900000000000004e-07,"('~', 0, ""<method 'update' of 'dict' objects>"")"
42,1.0519e-05,2.5045238095238095e-07,1.0519e-05,2.5045238095238095e-07,"('~', 0, ""<method 'encode' of 'str' objects>"")"
3,2.0950000000000003e-06,6.983333333333335e-07,2.0950000000000003e-06,6.983333333333335e-07,"('~', 0, ""<method 'startswith' of 'str' objects>"")"
1,1.6560000000000001e-06,1.6560000000000001e-06,3.4150000000000003e-06,3.4150000000000003e-06,"('~', 0, '<built-in method builtins.any>')"
8,3.069e-06,3.83625e-07,3.069e-06,3.83625e-07,"('~', 0, '<built-in method builtins.getattr>')"
3,6.720000000000001e-07,2.2400000000000002e-07,6.720000000000001e-07,2.2400000000000002e-07,"('~', 0, '<built-in method builtins.hasattr>')"
455,9.4374e-05,2.0741538461538463e-07,0.000226023,6.02728e-07,"('~', 0, '<built-in method builtins.isinstance>')"
46,2.5434e-05,5.529130434782609e-07,6.167e-05,1.3406521739130435e-06,"('~', 0, '<built-in method builtins.issubclass>')"
1,5.16e-07,5.16e-07,5.16e-07,5.16e-07,"('~', 0, '<built-in method builtins.iter>')"
43,6.9690000000000005e-06,1.6206976744186048e-07,6.9690000000000005e-06,1.6206976744186048e-07,"('~', 0, '<built-in method builtins.len>')"
4,4.483e-06,1.12075e-06,4.9950000000000005e-06,1.2487500000000001e-06,"('~', 0, '<built-in method builtins.next>')"
5,9.62e-07,1.924e-07,9.62e-07,1.924e-07,"('~', 0, '<built-in method builtins.setattr>')"
1,1.762e-06,1.762e-06,1.762e-06,1.762e-06,"('~', 0, '<built-in method builtins.sorted>')"
